model_dir,seed,ELBO,IWAE
models/partA_flow_v1/1708039015,109,-133.9813995361328,-25.828594207763672
models/partA_vampPrior_v1/1708039248,109,-133.82537841796875,-26.74252700805664
models/partA_Gaussian_v1/1708039448,109,-135.12774658203125,-32.89735412597656
models/partA_gmm_v1/1708039668,109,-133.5824737548828,-27.63165855407715
models/partA_flow_v1/1708039896,231,-135.07760620117188,-29.23750877380371
models/partA_vampPrior_v1/1708040126,231,-134.18927001953125,-31.460159301757812
models/partA_Gaussian_v1/1708040325,231,-135.46392822265625,-31.930828094482422
models/partA_gmm_v1/1708040544,231,-134.0684356689453,-28.972259521484375
models/partA_flow_v1/1708040771,456,-134.59188842773438,-25.049612045288086
models/partA_vampPrior_v1/1708040999,456,-133.7185821533203,-29.572301864624023
models/partA_Gaussian_v1/1708041198,456,-135.19613647460938,-29.03030776977539
models/partA_gmm_v1/1708041420,456,-133.85902404785156,-25.31131935119629
models/partA_flow_v1/1708041646,789,-134.24298095703125,-23.770370483398438
models/partA_vampPrior_v1/1708041875,789,-133.93443298339844,-29.05600929260254
models/partA_Gaussian_v1/1708042075,789,-134.2581329345703,-26.33860969543457
models/partA_gmm_v1/1708042296,789,-134.34666442871094,-30.821796417236328
models/partA_flow_v1/1708042525,1113,-136.05224609375,-30.13083839416504
models/partA_vampPrior_v1/1708042757,1113,-133.8971405029297,-31.047548294067383
models/partA_Gaussian_v1/1708042957,1113,-135.270751953125,-32.69700622558594
models/partA_gmm_v1/1708043178,1113,-134.74810791015625,-32.49000549316406
models/partA_flow_v1/1708043404,1234,-134.32162475585938,-25.414392471313477
models/partA_vampPrior_v1/1708043636,1234,-134.61192321777344,-28.88149642944336
models/partA_Gaussian_v1/1708043835,1234,-135.58126831054688,-29.084882736206055
models/partA_gmm_v1/1708044056,1234,-133.6555938720703,-30.288461685180664
models/partA_flow_v1/1708044283,5678,-135.2945556640625,-25.147186279296875
models/partA_vampPrior_v1/1708044518,5678,-133.65069580078125,-29.145584106445312
models/partA_Gaussian_v1/1708044721,5678,-134.86935424804688,-25.97169303894043
models/partA_gmm_v1/1708044941,5678,-134.77073669433594,-28.868070602416992
models/partA_flow_v1/1708045167,9012,-134.4976806640625,-25.596324920654297
models/partA_vampPrior_v1/1708045398,9012,-133.9582061767578,-25.444580078125
models/partA_Gaussian_v1/1708045601,9012,-134.69412231445312,-23.891643524169922
models/partA_gmm_v1/1708045821,9012,-134.14266967773438,-26.231670379638672
models/partA_flow_v1/1708046048,3456,-135.8563232421875,-31.15845489501953
models/partA_vampPrior_v1/1708046277,3456,-133.86978149414062,-27.36400032043457
models/partA_Gaussian_v1/1708046479,3456,-134.51034545898438,-31.307430267333984
models/partA_gmm_v1/1708046698,3456,-133.71932983398438,-29.704326629638672
models/partA_flow_v1/1708046923,7890,-134.88510131835938,-31.32314682006836
models/partA_vampPrior_v1/1708047152,7890,-134.3851318359375,-29.59964942932129
models/partA_Gaussian_v1/1708047350,7890,-135.06997680664062,-30.889644622802734
models/partA_gmm_v1/1708047570,7890,-133.89114379882812,-30.89583396911621
